LON,LAT,X
-118.5113,34.2322,95.0
-118.5112,34.2394,8.0
-118.5112,34.2413,1.0
-118.5112,34.2467,6.0
-118.5111,34.2508,1.0
-118.511,34.2612,6.0
-118.5108,34.3074,1.0
-118.5105,34.0496,1.0
-118.5099,34.2211,1.0
-118.5098,34.2012,1.0
-118.5098,34.2084,2.0
-118.5098,34.2231,1.0
-118.5095,34.166,2.0
-118.5095,34.2902,2.0
-118.5088,34.2594,1.0
-118.5088,34.2648,1.0
-118.5084,34.2372,4.0
-118.5084,34.2413,1.0
-118.5084,34.3021,1.0
-118.5079,34.2484,1.0
-118.5078,34.043,4.0
-118.5074,34.1894,1.0
-118.507,34.169,1.0
-118.507,34.287,2.0
-118.5067,34.2576,1.0
-118.5067,34.2648,2.0
-118.5058,34.2467,2.0
-118.5057,34.1894,1.0
-118.5057,34.2668,1.0
-118.5056,34.0738,1.0
-118.5056,34.2467,3.0
-118.5056,34.2575,2.0
-118.5055,34.2214,1.0
-118.5055,34.2576,1.0
-118.5055,34.2648,3.0
-118.5055,34.2907,1.0
-118.5054,34.2612,1.0
-118.5052,34.2924,6.0
-118.5049,34.2764,1.0
-118.5047,34.3343,1.0
-118.5046,34.3045,1.0
-118.5045,34.2648,1.0
-118.5044,34.2394,8.0
-118.5043,34.2394,1.0
-118.5037,34.2891,1.0
-118.5036,34.0611,1.0
-118.5036,34.2512,1.0
-118.5033,34.1598,1.0
-118.5032,34.2405,1.0
-118.5032,34.2575,6.0
-118.5031,34.2942,1.0
-118.5027,34.2212,1.0
